Date,CITY,CNT
2019-08-01,Bepz biyagama,3
2019-10-17,SANDALANKAWA,1
2019-12-12,BIYAGAMA,2
2020-05-13,COLOMBO 7,1
2019-08-12,KALUBOWILA,1
2020-05-19,NEGOMBO,1
2020-05-28,COLOMBO 8,1
2019-09-25,HOMAGAMA,2
2020-02-12,COLOMBO 10,5
2019-06-12,BORALESGAMUWA,1
2019-08-31,DANKOTUWA,1
2020-01-09,COLOMBO 3,39
2020-03-05,KALAGEDIHENA,2
2019-10-24,GAMPAHA,3
2019-10-14,HOMAGAMA,3
2019-09-11,Ragama,1
2019-10-30,PANADURA,1
2020-04-30,COLOMBO 7,3
2020-02-17,KANDANA,1
2019-07-10,DEHIWALA,4
2019-08-21,RAGAMA,1
2020-02-29,GAMPAHA,2
2020-02-14,COLOMBO 15,5
2019-11-02,SEEDUWA,3
2020-01-20,MAKOLA,2
2020-05-19,DIVULAPITIYA,3
2019-06-05,COLOMBO,47
2020-01-06,MAHARAGAMA,1
2019-09-23,BADALGAMA,9
2019-11-04,COLOMBO 14,1
2020-03-06,COLOMBO 5,13
2019-09-25,RAJAGIRIYA,5
2019-06-25,ANURADHAPURA,1
2019-09-19,MOUNT LAVINIA,1
2019-11-11,Ratmalana,5
2019-12-16,CHILAW,1
2020-03-02,NUGEGODA,8
2019-06-22,BADALGAMA,3
2019-11-21,ATHURUGIRIYA,1
2020-04-08,RAJAGIRIYA,3
2019-07-05,AVISSAWELLA,1
2019-06-10,PANADURA,2
2020-01-21,GIRITALE,1
2019-11-22,JA-ELA,1
2019-12-31,SANDALANKAWA,1
2019-06-07,WALPOLA,1
2019-06-26,BADALGAMA,2
2019-11-29,GAMPAHA,3
2019-09-26,JA-ELA,2
2020-03-07,COLOMBO,14
2019-09-27,BADALGAMA,2
2019-12-10,MAKOLA,1
2020-02-10,MAKOLA,1
2019-10-28,UKUWELA,1
2019-11-30,WARAKAPOLA,1
2020-03-17,MULLERIYAWA NEW TOWN,1
2019-06-13,HANWELLA,1
2019-07-08,BATTARAMULLA,3
2020-01-04,COLOMBO 7,5
2020-04-18,COLOMBO 10,10
2019-11-06,KATUNAYAKE,6
2019-09-20,AVISSAWELLA,5
2020-01-16,SEEDUWA,2
2019-09-30,KOLONNAWA,2
2019-06-03,MORATUWA,5
2019-11-16,COLOMBO 13,3
2019-08-03,WENNAPPUWA,1
2019-11-08,KURUNEGALA,1
2019-07-05,KOCHCHIKADE,1
2019-08-22,Negombo,5
2019-09-04,KATUNAYAKE (FTZ),2
2019-06-14,WATTALA,5
2019-07-29,COLOMBO 8,2
2019-09-23,USWETAKEIYAWA,1
2020-01-01,Nittabuwa,3
2019-10-10,KOCHCHIKADE,1
2019-12-16,Bepzbiyagama,3
2019-06-06,COLOMBO 14,1
2020-02-06,COLOMBO 3,12
2019-07-25,COLOMBO 10,1
2019-12-18,MARAWILA,1
2020-01-08,Bepzbiyagama,3
2019-10-14,KAPUGODA,3
2019-12-02,PUTTALAM,1
2019-06-24,HOMAGAMA,2
2019-09-28,WATTALA,10
2019-11-30,SANDALANKAWA,1
2019-09-05,RAJAGIRIYA,1
2019-10-10,KATUNAYAKE (FTZ),2
2020-01-13,DANKOTUWA,2
2020-03-07,MALABE,1
2019-07-25,KALUTARA,2
2019-11-08,COLOMBO,17
2020-01-17,PELIYAGODA,2
2020-06-01,WATTALA,4
2019-06-14,HOMAGAMA,1
2020-01-16,COLOMBO 2,14
2019-08-29,COLOMBO 15,1
2019-12-18,COLOMBO 7,7
2020-01-20,MOUNT LAVINIA,6
2020-03-17,GAMPAHA,4
2019-09-09,RAJAGIRIYA,3
2020-01-29,BULATHKOHUPITIYA,1
2020-01-30,MALWANA,16
2019-11-18,COLOMBO 4,7
2019-08-03,RATNAPURA,1
2019-12-02,23 25 rheinland place,3
2020-02-14,NEGOMBO,2
2019-11-14,KOTTE,3
2019-09-17,SEEDUWA,1
2019-11-07,Minuwangoda,1
2020-02-21,RATNAPURA,1
2019-06-08,KADAWATHA,4
2019-12-23,MAHARANGALLA,1
2020-01-30,BORALESGAMUWA,1
2019-08-22,Divulapitiya,1
2019-12-09,ANURADHAPURA,1
2019-06-28,HOMAGAMA,2
2019-09-04,COLOMBO 6,1
2020-03-17,JA-ELA,3
2019-07-27,DEHIWALA,1
2020-02-20,MARAWILA,1
2020-03-07,NUGEGODA,5
2019-07-08,HANWELLA,1
2019-12-20,COLOMBO 8,3
2019-10-10,AVISSAWELLA,2
2020-03-07,COLOMBO 9,2
2019-08-05,COLOMBO 8,8
2019-10-05,COLOMBO 3,13
2020-03-10,MAHARAGAMA,2
2019-06-13,BATTARAMULLA,3
2020-05-11,thalahena,2
2020-05-27,TRINCOMALEE,1
2019-08-12,Bepz biyagama,3
2019-12-10,KOSGAMA,1
2019-08-26,NUGEGODA,10
2020-01-31,MATARA,1
2019-09-05,GONAWALA,1
2019-11-04,COLOMBO 15,2
2020-01-11,DEHIWALA,4
2020-03-17,DEHIWALA,6
2020-04-22,COLOMBO 4,3
2020-04-22,COLOMBO 2,11
2020-03-05,COLOMBO 1,11
2019-06-24,MALWANA,11
2019-11-11,SEEDUWA,4
2020-01-16,PILIYANDALA,1
2020-02-17,MAHARAGAMA,2
2019-11-15,RAJAGIRIYA,2
2020-01-18,COLOMBO,15
2020-02-17,NEGOMBO,1
2020-03-27,ANDIAMBALAMA,1
2019-07-13,SRI JAYAWARDENEPURA,1
2019-07-25,RANALA,1
2020-06-01,KELANIYA,4
2019-06-17,BATTARAMULLA,1
2019-07-08,KELANIYA,2
2019-09-14,KADAWATHA,7
2020-01-14,SIYAMBALAPE,1
2019-11-16,COLOMBO 5,1
2020-01-04,DOMPE,1
2020-01-14,WATTALA,2
2020-03-27,PANNIPITIYA,3
2020-01-29,BATTARAMULLA,2
2020-02-15,NITTAMBUWA,3
2020-03-05,RATMALANA,1
2019-08-29,DIVULAPITIYA,2
2019-11-11,HOKANDARA,1
2019-06-21,HOMAGAMA,1
2019-07-23,COLOMBO 7,1
2019-10-11,GAMPAHA,3
2020-01-18,MALABE,1
2020-03-12,COLOMBO 8,5
2020-01-04,NUGEGODA,4
2019-06-20,PELIYAGODA,1
2019-06-21,KAPUGODA,1
2019-10-28,MULLERIYAWA NEW TOWN,3
2020-01-08,COLOMBO 10,6
2020-04-22,bepzbiygama,1
2019-08-10,THULHIRIYA,1
2019-11-13,COLOMBO 14,1
2020-03-13,MAHABAGE,1
2019-09-25,GONAWALA,1
2019-12-21,ANURADHAPURA,1
2019-11-09,NUGEGODA,7
2019-08-16,NAWALA,1
2019-09-18,KADAWATHA,1
2019-07-30,HOMAGAMA,1
2019-09-18,COLOMBO 15,1
2019-09-28,BIYAGAMA IPZ,2
2020-05-13,ALGAMA,1
2019-08-21,HAMBANTOTA,1
2020-05-14,HABARADUWA,1
2019-07-27,RATNAPURA,1
2019-08-22,COLOMBO 10,3
2019-10-29,DEHIWALA,2
2019-12-26,KANDY,1
2020-02-19,MORATUWA,4
2020-03-19,MAWATHAGAMA,1
2019-07-06,MALWANA,5
2020-05-12,WENNAPPUWA,1
2019-11-26,GONAWALA,1
2020-02-11,KATUNAYAKE,1
2019-06-04,KATUNAYAKE,5
2019-06-11,COLOMBO 2,2
2019-08-05,DANKOTUWA,1
2019-09-30,COLOMBO 14,4
2019-09-10,KURUNEGALA,1
2020-01-16,COLOMBO 11,1
2019-08-26,COLOMBO 3,95
2019-09-10,COLOMBO 1,3
2020-05-21,KAPUGODA,4
2019-07-02,BANDARAGAMA,1
2019-09-12,KOHUWALA,1
2019-09-14,COLOMBO 15,3
2019-10-24,MULLERIYAWA NEW TOWN,1
2019-11-21,KEGALLE,1
2020-02-10,KOLONNAWA,1
2020-03-11,KALUTARA,1
2019-12-17,COLOMBO 10,2
2020-01-22,NITTAMBUWA,1
2020-02-28,SANDALANKAWA,1
2019-08-16,DELGODA,1
2019-09-10,COLOMBO,2
2019-07-09,HOMAGAMA,1
2020-05-05,RAJAGIRIYA,1
2019-06-10,YATIYANTOTA,1
2019-09-16,HORANA,1
2019-11-25,DEHIWALA,10
2019-11-07,KOTTE,2
2019-06-08,KATUNAYAKE,2
2019-09-16,KATUNAYAKE,9
2020-02-29,DELGODA,1
2019-10-17,GONAWALA,1
2020-01-06,GONAWILA,1
2020-01-22,MIRIGAMA,1
2020-02-10,KADAWATHA,3
2020-05-13,ALAWWA,1
2019-10-17,MULLERIYAWA,1
2020-04-27,MOUNT LAVINIA,1
2019-07-11,MATARA,1
2019-12-13,COLOMBO 3,28
2020-04-23,PELIYAGODA,3
2020-06-01,KANDY,2
2019-10-04,DEHIWALA,1
2019-11-18,COLOMBO,31
2019-12-17,NITTAMBUWA,2
2019-08-21,COLOMBO 3,49
2020-03-10,SANDALANKAWA,3
2019-11-15,BANDARAGAMA,1
2020-02-15,WENNAPPUWA,2
